File name: LAI_Global_Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated  documentation: A Global Database of Field-observed Leaf Area Index in Woody Plant Species, 1932-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing numeric values are represented by -9999. Missing text fields are blank cells. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference_number,Publication_year,Overstory_LAI_Original,Understory_LAI_Original,Total_LAI_Original,Source,Definition_overstory,Definition_understory,Definition_total,Conversion_factor_overstory,Conversion_factor_understory,Conversion_factor_total,Overstory_LAI_HSA,Understory_LAI_HSA,Total_LAI_HSA,Element_clumping_index_overstory,Element_clumping_index_total,Needle_clumping_index_overstory,Needle_clumping_index_total,Corrected_overstory_LAI_HSA,Corrected_total_LAI_HSA,Method,Method2,Notes_Method,MAT,MAP,Stand_age,Stand_age2,Dominant_species,PFT1,PFT2,PFT3,PFT4,Vegetation_status,Country,Location,Site,Latitude,Longitude,Altitude,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,m2 m-2,m2 m-2,m2 m-2,,,,,,,,m2 m-2,m2 m-2,m2 m-2,,,,,m2 m-2,m2 m-2,,,,Degree,mm,Year,,,,,,,,,,,Decimal Degree,Decimal Degree,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.9,-9999,7.9,T1,PA,,,1,-9999,1,7.9,-9999,7.9,1,1,1,1,7.9,7.9,D,Litter trap,,7.6,738,115,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Calden,,51.41666667,9.4,310,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,8.2,-9999,8.2,T1,PA,,,1,-9999,1,8.2,-9999,8.2,1,1,1,1,8.2,8.2,D,Litter trap,,7.6,738,115,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Calden,,51.41666667,9.4,310,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.6,-9999,7.6,T1,PA,,,1,-9999,1,7.6,-9999,7.6,1,1,1,1,7.6,7.6,D,Litter trap,,7.6,738,119,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Calden,,51.41666667,9.4,300,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.8,-9999,7.8,T1,PA,,,1,-9999,1,7.8,-9999,7.8,1,1,1,1,7.8,7.8,D,Litter trap,,7.6,738,119,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Calden,,51.41666667,9.4,300,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.1,-9999,7.1,T1,PA,,,1,-9999,1,7.1,-9999,7.1,1,1,1,1,7.1,7.1,D,Litter trap,,7.6,738,119,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Calden,,51.41666667,9.4,300,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.8,-9999,6.8,T1,PA,,,1,-9999,1,6.8,-9999,6.8,1,1,1,1,6.8,6.8,D,Litter trap,,7.6,710,120,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Gottinger Wald,,51.53333333,10.03333333,420,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,9.1,-9999,9.1,T1,PA,,,1,-9999,1,9.1,-9999,9.1,1,1,1,1,9.1,9.1,D,Litter trap,,7.6,736,107,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Habichtswald,,51.33333333,9.333333333,470,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.9,-9999,7.9,T1,PA,,,1,-9999,1,7.9,-9999,7.9,1,1,1,1,7.9,7.9,D,Litter trap,,7.6,736,114,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Habichtswald,,51.33333333,9.333333333,500,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,5.6,-9999,5.6,T1,PA,,,1,-9999,1,5.6,-9999,5.6,1,1,1,1,5.6,5.6,D,Litter trap,,7.6,736,132,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Habichtswald,,51.33333333,9.333333333,600,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
